anio,mes,hogar_id,persona_id,orden,sexo,edad,estado_civil,n_hijos,educacion,ocupacion,cond_actividad,estrato,personas_hogar,cuartos,tipo_vivienda,tenencia,agua_potable,internet,computador,movil,energia,afiliacion_salud,consultas_ano,salud_perc,actividad_fisica,dias_enfermo_30,tabaco,alcohol,felicidad,horas_semana,salario,remoto,sector,horas_internet_dia,uso_redes,compras_online,gasto_mensual,pobreza_percibida,satisfaccion_vivienda,transporte_publico,tiempo_transporte_min,region
2022,6,5263,1,5,Hombre,29.0,Soltero/a,0,Universitaria,Jubilado,Ocupado,2,1,3,Casa,Propia,1,0.0,0,1,Red pública,Contributivo,2,3,0,0,0,0,2,53.0,1566619.0,0,Agricultura,6.49,1,0,786715,0,2,1,34,Centro
2025,4,6269,2,2,Hombre,26.0,Unión libre,2,Técnica/Tecnológica,Desempleado,Desempleado,1,2,3,Casa,Propia,1,1.0,1,1,Red pública,Subsidiado,0,5,0,3,0,1,1,0.0,0.0,1,Comercio,3.83,1,0,18306,0,1,1,31,Bogotá
2024,7,8717,3,4,Hombre,52.0,Casado/a,0,Primaria incompleta,Estudiante,Inactivo,3,7,3,Casa,Propia,1,0.0,0,1,Red pública,Contributivo,1,3,0,2,0,1,3,0.0,0.0,0,Servicios,4.31,1,0,137833,0,5,1,19,Bogotá
2023,3,2409,4,6,Hombre,19.0,Casado/a,7,Primaria completa,Cuenta propia,Ocupado,1,4,2,Rural,Arrendada,1,1.0,0,1,Red pública,No afiliado,3,5,0,0,0,1,9,,619117.0,0,Comercio,0.0,1,0,465232,0,5,0,19,Centro
2021,5,2832,5,4,Mujer,32.0,Casado/a,2,Técnica/Tecnológica,Estudiante,Inactivo,2,6,6,Conjunto cerrado,Propia,1,1.0,0,1,Red pública,Subsidiado,4,4,0,1,0,1,6,0.0,0.0,0,Agricultura,1.46,0,0,162189,1,3,1,48,Bogotá
2021,1,3024,6,1,Hombre,60.0,Soltero/a,2,Técnica/Tecnológica,Empleado,Ocupado,1,3,2,Rural,Familiar,0,1.0,0,1,Red pública,Contributivo,2,2,0,0,1,0,6,51.0,1170330.0,0,Industria,0.82,0,0,643785,0,1,1,64,Pacífico
2020,10,6736,7,7,Hombre,31.0,Divorciado/a,2,Universitaria,Empleado,Ocupado,2,4,3,Conjunto cerrado,Propia,1,1.0,0,1,Red pública,Subsidiado,5,2,1,2,0,0,10,49.0,4297140.0,0,Gobierno,3.02,1,0,2196407,0,5,1,2,Caribe
2025,3,5993,8,7,Mujer,22.0,Soltero/a,1,Técnica/Tecnológica,Empleado,Ocupado,4,1,7,Casa,Propia,1,1.0,1,1,Red pública,Contributivo,0,3,0,1,0,1,6,40.0,1082697.0,0,Agricultura,1.6,1,0,567919,0,4,1,16,Centro
2023,8,8634,9,2,Mujer,74.0,Unión libre,2,Universitaria,Jubilado,Ocupado,4,7,10,Casa,Propia,1,1.0,1,1,Red pública,Subsidiado,2,5,0,0,0,1,7,42.0,2317154.0,0,Servicios,4.74,1,1,1234109,0,4,1,48,Bogotá
2024,9,5957,10,5,Hombre,50.0,Soltero/a,0,Secundaria completa,Cuenta propia,Ocupado,5,4,4,Casa,Propia,1,1.0,1,1,Red pública,Contributivo,2,1,0,0,0,0,9,35.0,1041963.0,0,Servicios,0.65,1,1,722405,1,2,1,47,Bogotá
2020,9,4213,11,3,Hombre,12.0,Unión libre,1,Secundaria incompleta,Empleado,Ocupado,4,3,8,Casa,Familiar,1,1.0,1,1,Red pública,Contributivo,4,4,0,3,0,1,5,28.0,572381.0,1,Tecnología,4.03,1,0,406832,0,3,1,8,Antioquia
2025,10,7208,12,1,Hombre,46.0,Casado/a,0,Primaria completa,Cuenta propia,Ocupado,2,4,2,Conjunto cerrado,Propia,0,1.0,0,1,Red pública,Contributivo,1,3,0,2,0,0,9,39.0,699651.0,0,Comercio,4.68,1,1,459238,0,2,1,29,Caribe
2024,2,7453,13,2,Mujer,38.0,Soltero/a,3,Ninguno,Empleado,Ocupado,3,5,8,Casa,Familiar,1,1.0,1,1,Red pública,Subsidiado,2,4,1,2,0,0,1,31.0,306667.0,0,Servicios,1.96,1,0,415571,1,5,1,68,Centro
2021,4,3753,14,1,Hombre,54.0,Soltero/a,0,Primaria completa,Desempleado,Desempleado,3,4,4,Conjunto cerrado,Propia,1,0.0,0,1,Red pública,Subsidiado,1,4,0,0,0,1,1,0.0,0.0,0,Agricultura,4.84,1,0,425497,0,2,1,29,Centro
2021,5,8328,15,2,Mujer,49.0,Soltero/a,2,Secundaria completa,Empleado,Ocupado,1,6,3,Casa,Propia,1,1.0,0,0,Red pública,Subsidiado,3,4,0,1,0,1,2,33.0,1188349.0,1,Comercio,2.11,1,0,666974,0,3,1,28,Antioquia
2021,3,1305,16,7,Mujer,39.0,Soltero/a,0,Secundaria completa,Empleado,Ocupado,3,7,2,Apartamento,Propia,1,1.0,1,1,Red pública,Subsidiado,0,1,0,1,0,1,5,32.0,822857.0,0,Gobierno,0.02,1,0,434929,0,4,0,1,Centro
2021,11,2384,17,3,Hombre,44.0,Casado/a,0,Universitaria,Empleado,Ocupado,2,4,5,Rural,Arrendada,0,1.0,0,1,Red pública,Contributivo,1,3,0,2,0,0,2,33.0,2020957.0,0,Servicios,2.63,1,0,1197650,0,2,0,15,Pacífico
2023,1,4367,18,3,Mujer,45.0,Casado/a,2,Secundaria completa,Empleado,Ocupado,4,5,7,Apartamento,Propia,1,1.0,0,1,Red pública,Contributivo,2,2,1,0,0,1,4,38.0,,0,Comercio,3.84,1,0,623059,1,2,1,38,Pacífico
2022,6,2574,19,7,Mujer,47.0,Casado/a,1,Secundaria completa,Desempleado,Desempleado,1,3,9,Casa,Propia,1,1.0,0,1,Red pública,Contributivo,1,5,0,0,0,1,2,0.0,0.0,0,Industria,2.99,1,1,88547,0,2,1,67,Caribe
2021,10,1872,20,5,Mujer,34.0,Soltero/a,2,Técnica/Tecnológica,Desempleado,Desempleado,2,6,3,Casa,Propia,1,1.0,1,1,Red pública,Contributivo,3,5,1,1,0,1,4,0.0,0.0,0,Comercio,1.97,0,0,341024,1,3,1,60,Antioquia
2023,2,9360,21,1,Mujer,16.0,Soltero/a,0,Universitaria,Patrón,Ocupado,1,5,3,Apartamento,Propia,1,1.0,1,1,Red pública,Subsidiado,1,2,1,1,0,1,8,46.0,1732656.0,0,Servicios,1.86,0,0,829068,0,2,1,24,Antioquia
2020,9,6578,22,5,Mujer,36.0,Casado/a,0,Secundaria completa,Empleado,Ocupado,3,3,3,Casa,Arrendada,1,0.0,1,1,Red pública,No afiliado,0,1,0,2,0,1,1,47.0,931174.0,1,Servicios,0.0,1,0,540291,0,5,1,37,Antioquia
2021,1,2030,23,2,Hombre,32.0,Divorciado/a,1,Secundaria incompleta,Estudiante,Inactivo,2,5,3,Apartamento,Propia,1,1.0,0,1,Red pública,Contributivo,2,4,0,0,0,0,6,0.0,0.0,0,Servicios,3.02,1,0,224694,0,1,1,35,Pacífico
2022,11,8764,24,3,Hombre,39.0,Soltero/a,3,Secundaria completa,Hogar,Ocupado,1,4,5,Casa,Familiar,1,1.0,1,1,Red pública,Contributivo,1,3,0,0,0,1,2,35.0,714129.0,0,Servicios,2.81,0,0,402193,0,5,1,53,Pacífico
2022,9,7731,25,3,Mujer,59.0,Soltero/a,2,Universitaria,Desempleado,Desempleado,4,3,3,Casa,Propia,1,0.0,0,1,Red pública,No afiliado,1,2,1,0,0,0,7,0.0,0.0,0,Servicios,0.0,1,0,171154,0,5,1,20,Oriente
2024,7,7905,26,4,Mujer,65.0,Soltero/a,4,Universitaria,Cuenta propia,Ocupado,4,4,7,Casa,Propia,1,1.0,1,1,Red pública,No afiliado,4,3,0,0,0,1,2,44.0,3075539.0,1,Servicios,3.18,0,0,1365773,0,3,0,9,Pacífico
2021,11,5442,27,4,Mujer,52.0,Casado/a,3,Primaria incompleta,Empleado,Ocupado,2,5,3,Apartamento,Arrendada,1,0.0,1,1,Red pública,Contributivo,2,3,0,0,0,1,7,23.0,459312.0,1,Comercio,1.21,1,0,159159,0,1,1,21,Bogotá
2023,10,4667,28,7,Mujer,54.0,Casado/a,2,Secundaria incompleta,Empleado,Ocupado,1,3,6,Casa,Arrendada,1,,1,1,Red pública,Subsidiado,0,4,0,2,0,1,4,44.0,703643.0,0,Servicios,0.1,1,0,317463,0,3,0,6,Centro
2023,2,2276,29,5,Mujer,38.0,Casado/a,0,Secundaria completa,Empleado,Ocupado,4,2,5,Casa,Propia,1,1.0,1,1,Red pública,Contributivo,2,5,0,0,0,0,7,,894315.0,0,Servicios,0.0,1,0,592749,0,1,0,21,Bogotá
2020,6,7553,30,1,Mujer,33.0,Unión libre,1,Técnica/Tecnológica,Cuenta propia,Ocupado,1,5,4,Casa,Propia,1,0.0,1,1,Red pública,Subsidiado,2,5,0,1,0,0,4,29.0,,0,Servicios,7.12,0,0,787777,0,4,1,30,Bogotá
2023,8,1542,31,7,Hombre,53.0,Casado/a,1,Primaria completa,Empleado,Ocupado,2,3,4,Apartamento,Arrendada,1,1.0,1,0,Red pública,Contributivo,0,3,1,3,0,1,7,52.0,,0,Servicios,1.69,1,1,677766,0,1,1,36,Pacífico
2021,2,9546,32,2,Hombre,57.0,Soltero/a,2,Secundaria completa,Hogar,Ocupado,2,5,5,Apartamento,Propia,0,1.0,1,1,Red pública,Contributivo,1,5,1,0,0,1,2,31.0,1192764.0,0,Servicios,3.41,1,1,821624,0,1,1,21,Bogotá
2020,5,5808,33,5,Hombre,56.0,Soltero/a,2,Secundaria completa,Desempleado,Desempleado,5,2,3,Apartamento,Propia,1,1.0,0,1,Red pública,Contributivo,1,4,0,1,0,1,5,0.0,0.0,0,Comercio,2.59,1,0,237887,0,5,1,38,Pacífico
