age,annual_income,spending_score,online_visits_per_month,avg_cart_value,product_categories_visited,days_since_last_purchase,customer_tenure_mths
40.0,50403.82,52.3,11.6,73.34,4,33.5,16.4
33.6,52783.9,52.1,7.6,89.09,1,79.1,6.1
41.5,53233.89,33.9,10.7,103.12,4,106.3,10.7
50.2,74392.6,63.0,11.2,94.85,4,5.6,27.5
32.7,82070.34,34.3,11.7,64.99,4,3.2,21.1
32.7,42706.06,35.0,4.7,150.61,4,15.4,9.3
50.8,92650.11,29.8,8.5,94.4,3,44.9,7.3
42.7,50506.04,70.5,10.5,143.91,5,52.5,57.9
30.3,39291.66,40.3,9.0,147.83,1,13.4,34.5
40.4,80712.37,88.7,18.4,111.29,2,10.3,10.6
30.4,74731.39,66.5,10.3,111.1,4,3.1,31.8
30.3,73302.36,60.7,10.0,112.28,3,38.4,20.6
37.4,35619.75,33.9,9.7,108.73,5,25.3,55.9
18.0,37080.98,27.4,6.4,121.64,3,43.9,41.2
18.0,62859.77,58.7,9.9,133.75,5,200.8,49.4
29.4,56332.54,47.8,14.4,121.9,5,19.8,8.9
24.9,30423.49,21.0,5.1,82.49,5,14.5,30.9
38.1,71680.34,30.8,5.5,95.18,3,37.9,9.1
25.9,38439.66,29.2,11.5,63.24,3,9.5,7.6
20.9,84592.07,84.7,9.2,140.16,1,27.9,17.1
49.7,102622.02,96.0,9.8,185.77,4,7.0,8.3
32.7,70275.74,56.2,11.8,114.63,2,24.2,34.8
35.7,87760.36,60.6,13.0,145.21,3,13.5,35.2
20.8,49897.84,41.9,10.1,121.92,2,22.9,26.8
29.6,70953.69,39.3,11.0,86.01,6,71.7,39.2
36.1,90441.79,79.8,12.0,97.76,2,22.2,28.4
23.5,55702.03,76.8,8.8,89.96,1,9.3,60.0
38.8,57901.84,36.0,7.8,101.01,5,40.2,17.0
29.0,21102.45,37.1,19.9,112.46,4,156.2,28.7
32.1,56003.78,42.1,11.1,116.25,5,10.1,23.3
29.0,71654.81,47.2,9.4,75.19,1,26.2,14.3
